,recipe_id,step,description
0,1,1,"If you find asparagus difficult to find, use small drumsticks instead."
1,3,1,"Raffia is a soft natural fibre sued for weaving, winding and making baskets, mats and many other items."
2,12,1,Heat the oil in a broad pan and add the cumin seeds.
3,12,2,"When the seeds crackle, add the onions and sauté on a medium flame till they turn translucent."
4,12,3,Add the green chillies and ginger and sauté on a medium flame for 30 seconds.
5,12,4,"Add the potatoes, green peas, chaat masala, garam masala, coriander and salt, mix well and sauté on a medium flame for another 2 to 3 minutes. Keep aside."
6,13,1,Heat oil in a broad non-stick pan to shallow fry the bhindis.
7,13,2,"Add the sliced bhindis. After you wash the bhindis, do pat dry them well before you chop else it will be sticky."
8,13,3,Stir occasionally so that the okras cook evenly from all sides and do not burn.
9,13,4,"Saute the ladies finger till they are cooked, keep aside."
10,14,1,"Add the paneer to the prepared achaari marinade, mix gently and keep aside to marinate for 20 minutes."
11,14,2,Arrange the marinated paneer cubes equally on satay sticks and keep aside.
12,14,3,"Heat a non-stick tava (griddle), grease it with little oil, place a few satays on it and cook  on a medium flame, using a little oil, till they turn golden brown in colour from all the sides."
13,14,4,Repeat step 3 to cook more satays.
14,14,5,Serve immediately with dahiwali phudina chutney.
15,15,1,"Add the paneer to the prepared achaari marinade, mix gently and keep aside to marinate for 20 minutes."
16,15,2,Arrange the marinated paneer cubes equally on satay sticks and keep aside.
17,15,3,"Heat a non-stick tava (griddle), grease it with little oil, place a few satays on it and cook  on a medium flame, using a little oil, till they turn golden brown in colour from all the sides."
18,15,4,Repeat step 3 to cook more satays.
19,15,5,Serve immediately.
20,16,1,"Arrange the samosa pattis one on top of other on a baking tray, using oil to grease between the sheets. Sprinkle with onion seeds, turmeric powder and chilli powder."
21,16,2,Bake in a pre-heated oven at 180°c (360°f) till they turn crisp.
22,16,3,Cut into 2½“squares and keep aside.
23,17,1,"Combine the achaari mixture, curds and salt in a deep bowl and mix well using a whisk."
24,17,2,Refrigerate for at least 1 hour.
25,17,3,Serve chilled with khakhras.
26,21,1,"Heat the oil in a non-stick pan, add the cinnamon, cloves, caraway seeds and cardamom."
27,21,2,"When the caraway seeds crackle, add the rice and salt, mix well and cook on medium flame for 1 minute, while stirring continuously."
28,21,3,"Add the marinated paneer, mix well and cook on a medium flame for 1 to 2 minutes, while stirring occasionally."
29,21,4,Serve hot garnished with coriander.
30,30,1,Dip each ajwain leaf in the batter.
31,30,2,Deep fry in hot oil until golden in colour. Drain on absorbent paper.
32,30,3,Serve hot.
33,33,1,"Heat the cream in a pan and bring it to a boil. Add the chocolate and mix well to get a smooth sauce, making sure that no lumps remain."
34,33,2,Cool completely. Pour into a piping bag fitted with a star nozzle and keep aside. 
35,34,1,"Heat the ghee in a non-stick pan. Add the walnuts, mix well and sauté on a slow flame for approx. 4 to 5 minutes, till it is light brown in colour, stirring continuously."
36,34,2,"Add the cashewnuts, prepared sugar syrup, mix well and cook on a medium flame for 2 minutes, while stirring continuously."
37,34,3,Serve immediately garnished with pistachio slivers.
38,38,1,"Place 2 bread slices on a clean, dry surface and apply little prepared butter-mustard paste."
39,38,2,"Place 1 lettuce on 1 bread slice, put 1 portion of the prepared stuffing and cover with another bread slice with the buttered-mustard side facing downwards."
40,38,3,Repeat steps 1 and 2 to make 3 more sandwiches.
41,38,4,Cut into triangles and serve immediately.
42,39,1,"Heat the oil in a broad non-stick pan, add the mixed vegetables and sauté on a high flame for 2 minutes."
43,39,2,"Add the coriander, paneer, chilli powder and salt and mix well."
44,39,3,Cool slightly and divide the stuffing into 10 equal portions. Keep aside.
45,53,1,Dip 6 cookies one by one in the soaking syrup and place them on a serving plate.
46,53,2,Pipe out a little filling mixture onto each cookie.
47,53,3,Dip the remaining 6 cookies one by one in the soaking syrup and place them over the filling on each of the 6 cookies.
48,53,4,Garnish with chocolate and almonds and refrigerate for at least 30 minutes.
49,53,5,Serve chilled.
50,60,1,"As sugar caramelizes quickly, make sure you pay attention during the melting process at step 1."
51,60,2,Be very careful while making this recipe as hot praline mixture can cause burns very easily.
52,61,1,Slice the sponge cake horizontally into 2 equal parts. Keep aside.
