recipe_id,ingredient_id,quantity,unit
1,1, , 
1,2, , 
1,3, , 
1,1, , 
3,4, , 
3,6, , 
4,7, 1/2,cup
4,8,1 1/2,cups
4,9,1,tsp
4,8,1,tbsp
4,11,1,tbsp
4,12,1,tbsp
4,13, 1/2,tsp
4,14,1,tsp
4,15,14, 
4,6,1,tbsp
4,17,1 1/4,cups
4,18,1,tbsp
5,8,1 1/2,cups
5,6, 1/2,cup
5,6,1,tsp
5,17, , 
5,9,1,tbsp
5,10,1,tbsp
5,6,1,tbsp
5,12, 1/2,tsp
5,13,1,tsp
5,14,7, 
5,15,1,tbsp
5,6,1 1/4,cups
6,31,5,cups
6,8,1,tsp
6,11, 1/4,cup
6,34,1,tbsp
6,35,2,tbsp
6,19, 1/2,tsp
6,12, 1/4,tsp
6,16,2,tbsp
6,16, 1/4,cup
6,17,4,tbsp
7,41,1,cup
7,42, 1/3,cup
7,43, 1/4,cup
7,44,1,cup
7,23, , 
7,24,1 1/4,cups
8,28,1 1/2,cups
8,48, , 
8,49, 3/4,cup
8,50, 1/4,cup
8,17, 1/4,tsp
8,34, 1/2,tsp
8,8, 1/4,tsp
8,29,2, 
8,17, , 
9,56,2,cups
9,29, 1/4,cup
9,22,2,cups
9,59,2,tbsp
9,55,2,tbsp
9,61,1,tsp
9,18, 1/2,tsp
10,21,1,cup
10,26,2,tbsp
10,11, 1/2,tsp
10,32, 1/4,tsp
10,53,1,tbsp
10,6,1,tsp
10,8, 1/4,tsp
10,22, 1/4,cup
10,5, , 
11,25,1,cup
11,73,1,cup
11,74,1,tbsp
11,34,4,tbsp
11,76,4 to 5, 
11,53, , 
12,78,1 1/2,cups
12,8,1,tsp
12,17,1,tbsp
12,9,1,tbsp
12,57, 1/2,cup
12,10,1,tbsp
12,11,1,tbsp
12,12, 1/2,tsp
12,13,1,tsp
12,14,14, 
12,15,1,tbsp
12,16,1 1/4,cups
12,26,2,tbsp
12,33,1,tsp
12,92, 1/2,cup
12,93,2,tsp
12,94,1,tsp
12,95,1 1/2,cups
12,96, 1/2,cup
12,97,2,tsp
12,98,2,tsp
12,99,1,tbsp
12,17, , 
12,101,1,cup
12,45, , 
12,103,4, 
13,104,4,cups
13,26,5,tbsp
13,11,2,tsp
13,51,1,tsp
13,13, 1/2,tsp
13,9, 1/4,tsp
13,12, 1/4,tsp
13,13,2,tsp
13,70, 3/4,cup
13,33, , 
13,114, 1/2,cup
13,75,1,tsp
13,15, 1/4,tsp
13,117,2,tsp
13,84, , 
13,49, , 
14,91,1,tbsp
14,91, 1/2,cup
14,84,1,tsp
14,11,1,tsp
14,31, 1/2,tsp
14,9, 1/4,tsp
14,34, 1/4,tsp
14,45,1,tsp
14,8, 1/4,tsp
14,16,1,tbsp
14,17, , 
14,97,1 1/2,cups
14,97, , 
14,23, , 
15,56,1,tbsp
15,57, 1/2,cup
15,58,1,tsp
15,87,1,tsp
15,51, 1/2,tsp
15,88, 1/4,tsp
15,13, 1/4,tsp
15,39,1,tsp
15,96, 1/4,tsp
15,16,1,tbsp
15,17, , 
15,105,1 1/2,cups
15,97, , 
16,104,1 1/2,cups
16,32,2,tbsp
16,46,2,tsp
16,11,1,tsp
16,9, 1/4,tsp
16,124, 1/4,tsp
16,51, 1/4,tsp
16,40, 1/2,cup
16,42,2,tsp
16,41,1,tsp
16,8, 1/4,tsp
16,47, 1/4,cup
16,26, , 
16,160,5, 
16,13, , 
16,157, , 
16,15, , 
16,51,1,tbsp
17,26, 3/4,cup
17,17, , 
17,9, 1/4,tsp
17,26, 1/4,tsp
17,39, 1/2,tsp
17,11, 1/2,tsp
17,13, 1/4,tsp
17,26, 1/2,tsp
17,39, , 
17,47, 1/4,cup
17,26, 1/2,tsp
17,53, 1/2,tbsp
17,165, , 
18,178,1,tbsp
18,15,1,tsp
18,8, 1/2,tsp
18,32, , 
18,26,1,tsp
18,167,2,cups
18,26, , 
18,11,1,tsp
18,51,1,tsp
18,86,1,tsp
18,39,1,tsp
18,39, 1/2,tsp
18,12, 1/2,tsp
18,62,2,tbsp
18,71, 1/2,cup
18,64,1,tsp
18,82,1,tsp
18,8, 1/2,tsp
18,15, 1/2,tsp
18,80, 1/2,tsp
18,80, 1/2,tsp
18,17, , 
18,143, 3/4,cup
18,201, 1/2,cup
18,47,2,tbsp
19,33,2,tbsp
19,35, 1/2,cup
19,95,1 1/4,cups
19,42,2,tbsp
19,11,1,tsp
19,51,1,tsp
19,9,1,tsp
19,26,1,tsp
19,209,2, 
19,39, 1/2,tsp
19,12, 1/2,tsp
19,35, 1/2,cup
19,97,1,tsp
19,8, 1/2,tsp
19,15, 1/2,tsp
19,46, 1/2,tsp
19,18, , 
19,47,2,tbsp
20,59,1,cup
20,159,1,tbsp
20,11,1,tsp
20,51, 1/4,tsp
20,95, 1/4,tsp
20,73,1,tsp
20,142, 1/2,tsp
20,154, 1/2,tsp
20,62, 1/2,cup
20,70, 1/2,tsp
20,147, 1/2,tsp
20,232, 1/2,tsp
20,54, 3/4,cup
20,234,1,tsp
20,45,2,tbsp
20,74, , 
21,97,1 1/4,cups
21,26,1,tbsp
21,51,1,tsp
21,32, 1/2,tsp
21,39,1,tsp
21,46,1,tsp
21,11,1,tsp
21,8, 1/4,tsp
21,15,1,tsp
21,54, 1/2,cup
21,69,1,tbsp
21,17, , 
21,133,3,cups
21,177,1,tbsp
21,113,1 to 2, 
21,252,2, 
21,13, 1/2,tsp
21,20,2, 
21,147, , 
21,75,1,tbsp
22,257, 1/2,cup
22,258, 1/4,cup
22,125,2,tbsp
22,260,2,tbsp
22,9,1,tsp
22,55, 1/4,cup
22,96, , 
22,77,1,tsp
22,86,2,tbsp
22,8, 1/4,tsp
22,267,1,tbsp
22,238, , 
22,26,3,tsp
23,32,1,cup
23,177, 1/4,cup
23,183, 1/4,cup
23,15,2,tbsp
23,186,1,tsp
23,35,4, 
23,90,4, 
23,100, 1/2,tsp
23,154, 1/4,cup
23,53, 1/4,tsp
23,60,1,tbsp
23,281,2,tbsp
23,234, , 
23,283, , 
23,99, , 
24,34, 1/2,cup
24,187, 1/4,cup
24,90, 1/4,cup
24,85, 1/4,cup
24,84,5 to 6, 
24,12, , 
24,234,2,tbsp
24,292, 1/4,cup
24,106, 1/4,cup
24,35, 1/2,cup
24,47, 1/4,cup
24,56,1,tbsp
24,250, , 
24,150,3 3/4,tsp
25,299,1,tbsp
25,7,5,cups
25,168, 1/2,cup
25,302, 1/2,tbsp
25,250, 1/2,tsp
26,304,2, 
26,199,1 1/2,tsp
26,154,1,tsp
26,19,1,tsp
26,177, 1/2,tsp
27,83,2,cups
27,29,1,tbsp
27,311,3,tbsp
27,158,1,tbsp
27,8, 1/4,cup
27,35,2,tbsp
27,278,2,tbsp
27,104,1,tsp
27,8,1,tsp
27,45,1,tsp
27,34, , 
27,97, , 
28,286, 1/2,tsp
28,1, 1/4,tsp
28,110,1,cup
29,13,10 to 12, 
29,113,1,tbsp
29,35, 1/2,tsp
29,327,8 to 10, 
29,1,1 to 2, 
29,1, 1/2,cup
29,35,1,cup
29,53, , 
30,29,20, 
30,26, , 
30,84,1,cup
30,42, 1/2,tsp
30,95, 1/4,tsp
30,8,2, 
30,35,1,tbsp
30,8, , 
31,29,2,tsp
31,35,2,cups
32,279,1,cup
32,33, 1/2,tsp
32,122,2,tsp
32,343, , 
32,36, , 
32,113, , 
32,34, , 
33,29, 1/2,cup
33,350, 1/4,cup
33,179, 1/4,cup
33,177, , 
33,113, 1/2,cup
33,107, 1/4,cup
33,35,5, 
34,29,1,cup
34,265, 1/4,cup
34,194,1,tbsp
34,87, 1/4,cup
34,125,1,tbsp
35,35,1 1/2,cups
35,36, 1/2,cup
35,248, 1/2,cup
35,47, 1/4,cup
35,106,1,tsp
35,6,2,tsp
35,97,1,tsp
35,327,5,tbsp
35,231, , 
35,28,4 1/2,tsp
36,71,1 1/2,cups
36,115,1 1/2,tbsp
36,62, 1/4,cup
36,301,2,tbsp
36,39, 1/2,tsp
36,75, 1/4,tsp
36,32, 1/4,tsp
36,130, 1/2,tsp
36,379, 1/2,tsp
36,110, , 
36,26,2,tsp
37,382,6,tbsp
37,383,1, 
37,180,1, 
37,110,1, 
37,130,1, 
37,334,2 1/4,tsp
37,17, , 
37,389,12, 
37,390,2,tbsp
37,391,1,tsp
37,71, , 
37,393,1,tsp
37,124,2,tbsp
37,150,1 1/2,tbsp
37,26, 1/2,tbsp
37,62,2,tsp
37,211, , 
38,399, 1/2,cup
38,234,4,tbsp
38,234,4,tbsp
38,255,4,tbsp
38,235, , 
38,234,8, 
38,109,2,tbsp
38,234,4, 
39,111,1,cup
39,234,1 1/2,tbsp
39,173, , 
39,9,1,tsp
39,147, 1/2,cup
39,167, 1/2,cup
39,127, 1/2,cup
39,294, 1/2,cup
39,168, 1/4,cup
39,239, 1/2,cup
39,239,1,tsp
39,17, , 
39,198, , 
39,210,2 1/2,tsp
40,334, 3/4,cup
40,422, 3/4,cup
40,423,1 1/2,cups
41,89,1 to 2, 
41,425,2 to 3, 
41,426,3, 
41,427, , 
42,428,8, 
42,29,24, 
42,133,1,tsp
42,91,2,tsp
42,166, 1/4,tsp
43,76,1 3/4,cups
43,250, , 
43,109, 3/4,cup
43,85,1,tbsp
43,437, 1/2,cup
43,438,1 1/4,cups
43,439, 1/2,tsp
43,22,2,tbsp
43,441,6,tbsp
43,191,2,tbsp
43,15, , 
44,57,4,tbsp
44,35,1,cup
44,108,1 1/2,cups
44,117,2,tbsp
44,448, 1/2,tsp
44,20,8, 
45,106,1,cup
45,158, 1/4,tsp
45,171, 1/4,cup
45,212,3,tbsp
45,454,1,tsp
45,93, 1/2,cup
45,209, 1/2,cup
45,457, 1/2,cup
45,458, 1/4,cup
45,46, 1/4,cup
45,323, , 
46,105,1,cup
46,73,2,tsp
46,17, , 
46,53, , 
47,208, 1/2,cup
47,466,3,cups
47,53,2,tbsp
47,202,2, 
47,81,2, 
47,334,25,mm
47,42,1, 
47,177,1,tsp
47,40, 1/2,cup
47,58,1,tsp
47,475, 1/2,cup
47,17, 1/2,cup
47,202,1,tsp
47,257,1,tbsp
47,145,1,tbsp
47,480, 1/4,cup
47,154,1,tbsp
48,74,5,tbsp
48,96, 1/2,cup
48,335,1 1/2,cups
48,485,2,tsp
48,237,1,tsp
48,272, 1/2,cup
48,488,3, 
48,139,1,tsp
48,139, , 
49,173, 1/4,cup
49,76,1,cup
49,32, 1/2,tsp
49,309,1,tsp
49,272, 1/4,cup
49,195, 1/4,cup
49,108,2 1/2,tbsp
50,272, 1/2,cup
50,173, 1/4,cup
50,272,1 1/2,cups
50,74,5,tbsp
50,260, 1/2,cup
50,167, 1/4,tsp
50,108, 1/4,cup
51,278,1 1/4,cups
51,331, 1/2,cup
51,85,4,tbsp
51,117,2,tsp
51,85,1,tsp
51,13,1,tsp
52,85,1,cup
52,264,1,cup
52,513,1 3/4,cups
52,153, 1/2,tsp
52,17, 1/4,tsp
52,433,1,tsp
52,169, 1/4,cup
52,127,1,cup
53,266,12, 
53,117,1,tbsp
53,401,1,tbsp
53,114, 1/4,cup
53,164, 3/4,cup
53,34,2 1/2,tbsp
53,197,1,tsp
53,35, , 
53,85,2,tbsp
53,173,2,tbsp
54,154,1,cup
54,186,4, 
54,531, 1/4,cup
54,221,1,tbsp
54,206, 1/2,tsp
54,35, 1/2,tsp
54,33,2,tsp
54,7, 1/2,tsp
54,29, , 
55,292,20, 
55,272,1,tsp
55,274,1, 
55,126, 1/4,tsp
56,542, 1/4,cup
56,523, 1/4,cup
56,544, 1/4,cup
56,536, 1/4,cup
56,546,1 1/2,tbsp
56,121,1,cup
56,39,2,tbsp
56,85,1,tbsp
56,167, 1/4,tsp
56,255, , 
56,307,1,tbsp
57,62,20, 
57,114, 3/4,cup
58,274, 3/4,cup
58,108,5,cups
58,42, 1/2,cup
58,117, 1/2,tsp
58,559,1,tsp
58,560,1,tsp
59,159, 1/3,cup
59,105,2,tbsp
59,102,2,tbsp
59,100, 1/4,tsp
59,100, 1/2,cup
59,26, , 
60,294, 1/2,cup
60,211, 1/2,cup
60,317, 1/2,tsp
60,471, , 
61,22,1,cup
61,441, 3/4,cup
61,319, , 
61,53, , 
61,350, , 
61,51, , 
61,471,1, 
61,328, 1/2,cup
61,237,1 1/2,cups
61,100, , 
61,209, , 
61,478, , 
61,106, 1/4,cup
61,1,6, 
61,194, , 
61,586, , 
61,266, , 
62,168, 1/4,cup
62,119, 1/4,cup
62,70, 1/4,cup
63,1, 1/4,cup
63,86, 1/4,cup
63,108, 1/4,cup
64,260,1,cup
64,108,1,cup
64,73,1,tbsp
64,169, 1/2,cup
64,97, 1/2,tsp
64,599, , 
64,173,2,tbsp
65,112,20, 
65,602,3,cups
65,154,2,tsp
65,260,1,tbsp
65,209,3 to 4, 
65,17, , 
65,127,2,tbsp
65,187,2,tbsp
66,36,2 1/2,cups
66,45,1 1/2,cups
66,611,1,cup
66,326,2,tsp
66,96,4,tbsp
66,187,1,cup
