,id,name,hind_name,wikipedia_links,image_url
0,1,Asparagus ,,https://en.wikipedia.org/wiki/Asparagus ,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Asparagus-Bundle.jpg/110px-Asparagus-Bundle.jpg
1,2,Lemongrass ,,https://en.wikipedia.org/wiki/Lemongrass ,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/YosriNov04Pokok_Serai.JPG/220px-YosriNov04Pokok_Serai.JPG
2,3,Roses ,,https://en.wikipedia.org/wiki/Roses ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Rosa_rubiginosa_1.jpg/220px-Rosa_rubiginosa_1.jpg
3,4,Lavash ,,https://en.wikipedia.org/wiki/Lavash ,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Pan_armenio_en_el_mercado_de_Yerevan.JPG/250px-Pan_armenio_en_el_mercado_de_Yerevan.JPG
4,5,Chick Peas ,Kabuli Chana,https://en.wikipedia.org/wiki/Chick peas ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Sa-whitegreen-chickpea.jpg/220px-Sa-whitegreen-chickpea.jpg
5,6,Mango ,,https://en.wikipedia.org/wiki/Mango ,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Mangoes_pic.jpg/220px-Mangoes_pic.jpg
6,7,Turmeric ,Haldi,https://en.wikipedia.org/wiki/Turmeric ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Turmeric_inflorescence.jpg/220px-Turmeric_inflorescence.jpg
7,8,Fenugreek ,Methi,https://en.wikipedia.org/wiki/Fenugreek ,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Illustration_Trigonella_foenum-graecum0_clean.jpg/220px-Illustration_Trigonella_foenum-graecum0_clean.jpg
8,9,Fennel ,Saunf,https://en.wikipedia.org/wiki/Fennel ,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Foeniculum_July_2011-1a.jpg/220px-Foeniculum_July_2011-1a.jpg
9,10,Asafoetida ,Hing,https://en.wikipedia.org/wiki/Asafoetida ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Asafoetida2.jpg/220px-Asafoetida2.jpg
10,11,Nigella ,Kalonji,https://en.wikipedia.org/wiki/Nigella ,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Nigella_damascena_seed_capsule1.jpg/220px-Nigella_damascena_seed_capsule1.jpg
11,12,Kashmiri Chillies ,, , 
