recipe_id,step,description
1,1,"Soak the piece of foam well in water before placing it on the tray. Keep the tray at the place where you want to set up the arrangement. Slice the foam to a very low height, in keeping with the height of your low dining-table sit-down."
1,2,"Depending on their thickness, make four equal-looking bundles of the asparagus, probably using 8 to 10 stems in each. Tie each bundle up with lemongrass and place the bundles along the base of the tray, forming a square. Then tie the four corners with lemongrass to hold the asparagus in place."
1,3,"Before using the roses, cut the stems to about 6"" to 8"" and leave them in water for about 1/2 hour so that they last longer. Here we have chosen pink and white roses."
1,4,"Place the roses first in the outer square of the sponge, alternating the white with the pink. Then, in a similar manner, fill up the whole square."
1,5,"To finish off, use the asparagus ferns to cover up any spaces where the foam is still visible."
2,1,Take a long kebab stick and tie one of the éclairs on top with the white thread.
2,2,Make a loop with the thread and tie it securely to the stick.
2,3,Take the second éclair and tie it at right angles to the first one.
2,4,Tie the third éclair opposite the second one.
2,5,Continue in the same way till you have tied a lot of éclairs on the stick.
2,6,Wrap the rest of the kebab stick with green tape.
2,7,Make many more sticks in the same way.
2,8,"Lay out the basket, roses and the éclair sticks. Use small fillers made of chocolate wrapped in cellophane and tied to toothpicks."
2,9,Stick all the green fillers into the moss and then start adding the roses one by one.
2,10,Now place the éclair sticks in between the roses and fillers.
2,11,Arrange the éclair sticks in such a way that the bouquet looks balanced.
2,12,Fill the gaps with the small chocolate fillers.
2,13,Your delicious chocolate bouquet is ready!
3,1,Start by placing a protective covering over your table. Place a cane mat in the center of the table. Take 5 roll buns and place them horizontally on a mat at an equal distance form each other.
3,2,Place a gerbera between 2 roll buns in a raised position as shown in the picture.
3,3,Add some asparagus ferns to add colour. They can be placed beneath the petals.
3,4,Cut the lavash bread into triangles of various sizes. Use raffia to tie the triangles around a round candle. Decorate 2 candles in this manner. Place the candles on oppsite corners of the mat near the bread.
3,5,Your eye-catching centerpiece is ready.
4,1,"Combine the grated mango, turmeric powder and salt and leave aside for 30 minutes. "
4,2,Squeeze out all the mango water using a muslim cloth and keep aside. Keep the grated mango aside separately.   
4,3,Soak the Kabuli chana and fenugreek seeds in the mango water overnight.  
4,4,Refrigerate the grated mango. 
4,5,"Combine the fenugreek seeds powder, fennel seeds, asafoetida, nigella seeds, whole red chillies, chilli powder and soaked Kabuli chana mixture with the grated mango. Mix well. "
4,6,Heat the mustard oil. Cool it and add to the prepared mixture. 
4,7,Bottle the pickle in a sterilised glass jar. 
4,8,The pickle is ready to eat after 3 to 4 days.
4,9,Store it a cool dry place for upto 1 year.  
5,1,"Combine the raw mango, turmeric powder and salt in a deep bowl, mix well and keep aside for 30 minutes."
5,2,Squeeze out all the water from the raw mango in a bowl and keep aside. Keep the raw mango water and grated raw mango separately.
5,3,Refrigerate the grated raw mango overnight.
5,4,"Combine the fenugreek seeds, kabuli chana and raw mango water into a deep bowl, mix well and cover and keep aside overnight."
5,5,"Combine the fenugreek seed powder, fennel seeds, asafoetida, nigella seeds, kashmiri red chillies, chilli powder along the grated raw mango and kabuli chana-fenugreek seeds mixture into a deep bowl, mix well and keep aside."
5,6,Heat the mustard oil in a deep non-stick kadhai on a medium flame for 3 to 4 minutes or till red hot.
5,7,Remove from the flame and allow it to cool.
5,8,"Once cooled, add the oil to the prepared mixture and mix well."
5,9,"Bottle the pickle in a sterilized glass jar and keep aside for 6 to 7 days. After 7 days, it is ready to eat."
6,1,"Combine the mangoes, turmeric powder and 2 tbsp of salt and toss well."
6,2,"Place the mangoes on a sieve, cover and place under the sun for 4 to 6 hours."
6,3,Combine the rest of the ingredients in a bowl and mix well.
6,4,Add the mangoes and toss well.
6,5,Bottle the pickle in a sterilised glass jar. Place the pickle under the sun for 4 to 5 days. This pickle can be stored for upto 1 year.
7,1,"Combine 1/2 cup of water and sugar in a broad non-stick pan and cook on a medium flame for 2 to 3 minutes or till the sugar dissolves completely, while stirring continuously."
7,2,"Add the raw mangoes and cook on a medium flame for another 3 to 4 minutes, till the mangoes are tender, while stirring occasionally. Keep aside to cool."
7,3,Combine the cooked mangoes and mints leaves and blend in a mixer till the mixture is smooth.
7,4,"Transfer the mixture into a bowl, add the mint leaves, 1/2 cup of crushed ice, 1 cup of chilled water and blend well using a hand blender."
7,5,"For serving, place 2 tbsp of crushed ice in 4 individual glasses and pour equal quantities of the drink over it."
7,6,Serve chilled topped with 1 tbsp of crushed ice in each glass.
8,1,"Heat the oil in a deep non-stick pan, dip the mango cubes individually into the batter and deep-fry till they turn golden brown and crisp from all the sides. Drain on an absorbent paper."
8,2,Serve immediately.
9,1,"Combine the sugar with 3 cups of water and cook till the sugar has dissolved, stirring occasionally. "
9,2,"Add the mango pieces and grated mangoes and cook over a slow flame (approximately 25 to 30 minutes), stirring occasionally till the sugar syrup is of one string consistency and the mango pieces are soft and translucent.  "
9,3,"Add the sambhaar, almonds, poppy seeds and salt and mix well. "
9,4,Allow to cool completely. Bottle in a sterilised glass jar. This can be stored for upto 1 year refrigerated.  
10,1,"Heat the oil in a broad non-stick pan, add the fennel seeds and nigella seeds and sauté on a medium flame for a few seconds."
10,2,"Add the raw mango cubes, mix well and cook on a medium flame for 2 minutes, while stirring continuously."
10,3,"Add ¼ cup of water, coriander powder, chilli powder, turmeric powder, sugar and salt,mix well and cook on a medium flame for 2 to 3 minutes, while stirring occasionally."
10,4,Allow the launji to cool completely.
10,5,"Once cooled, serve or store in an air-tight container and refrigerate."
11,1,Combine all the ingredients in a mixer and blend till smooth.
11,2,Pour the mixture into a shallow aluminium container and cover it with an aluminium foil.
11,3,Freeze it for approx. 4 to 6 hours or until it is firm.
11,4,Remove it from the freezer and keep aside for 4 to 5 minutes.
11,5,Scrape it with a fork and serve immediately  in small glasses garnished with mint leaves.
12,1,"Combine the mangoes, turmeric powder and salt in a bowl, mix well and leave aside for 30 minutes. Squeeze out all the water from the mangoes and keep  refrigerated till use."
12,2,Soak the kabuli chana and fenugreek seeds in the mango water overnight.
12,3,"Combine the fenugreek seeds powder, fennel seeds, asafoetida, nigella seeds, whole red chillies, chilli powder, soaked kabuli chana mixture and grated mangoes in a bowl and mix well."
12,4,Heat the mustard oil in a small pan and cool completely. Add it to the prepared mixture.
12,5,Place the pickle in a sterilised glass jar and store it in a cool dry place.
12,6,The pickle is ready to eat after 3 to 4 days. Store it a cool dry place for upto 1 year.
13,1,"Heat 4 tbsp of oil in a broad non-stick pan, add the ladies finger, mix gently and cook on a medium flame for 5 to 6 minutes, while tossing occasionally. Remove in a deep bowl and keep aside."
13,2,"Heat the remaining 1 tbsp of oil in the same broad non-stick pan, add the fennel seeds, mustard seeds, nigella seeds, fenugreek seeds and asafoetida and sauté on a medium flame for a few seconds."
13,3,Add the ginger and sauté on a medium flame for 30 more seconds.
13,4,"Add the tomatoes, mix well and cook on a medium flame for 2 to 3 minutes, while stirring occasionally."
13,5,"Lower the flame, add the curd mixture, mix well and cook for 1 minute, while stirring continuously."
13,6,"Add the shallow-fried ladies finger and salt, mix well and cook on a medium flame for 1 to 2 minutes, while stirring occasionally."
13,7,Serve hot with rotis or parathas.
14,1,"Combine all the ingredients, except the curds in a mixer and blend to a coarse mixture."
14,2,"Transfer the mixture into a deep bowl, add the curds and mix well."
15,1,"Combine all the ingredients, except the curds in a mixer and blend to a coarse mixture."
15,2,"Transfer the mixture into a deep bowl, add the curds and mix well."
16,1,"Heat the oil in a pan and add the cumin seeds, fenugreek seeds, fennel seeds, onion seeds and mustard seeds."
16,2,"When the seeds crackle, add the onions, green chillies, ginger, garlic and sauté for 2 minutes."
16,3,"Add the paneer, turmeric powder, coriander and salt and mix well, cook for 3-4 minutes."
16,4,Keep aside.
17,1,"Heat the oil in a small non-stick pan, add the fenugreek seeds, mustard seeds, cumin seeds, fennel seeds and nigella seeds and sauté on a medium flame for 30 seconds."
17,2,"When the seeds crackle, add the asafoetida and mix well."
17,3,Transfer the mixture into a deep bowl and allow the mixture to cool completely.
17,4,"Add the coriander, green chillies and powdered sugar and blend in a mixer to smooth paste using 2 tbsp of water. Keep aside."
18,1,Combine the brinjals with the prepared marinade in a deep bowl and toss gently. Keep aside for 5 minutes.
18,2,Heat the oil in a kadhai and deep-fry the marinade brinjals in it till they are golden brown in colour from all the sides.
18,3,Drain on an absorbent paper and keep aside.
18,4,"Combine the fennel seeds, mustard seeds, fenugreek seeds, onion seeds, cumin seeds and asafoetida in a small bowl and keep aside."
18,5,Heat the oil in a deep pan and add the above mixture.
18,6,"When the seeds crackle, add the onions, ginger-garlic paste and green chillies and sauté on a medium flame for 2 minutes."
18,7,"Add the turmeric powder, chilli powder, punjabi garam masala, dry mango powder and salt and sauté on a medium flame for 2 minutes."
18,8,"Add the curds, fried brinjals and fresh cream, mix gently and cook on a slow flame for 2 to 3 minutes, while stirring continuously."
18,9,Serve hot garnished with coriander.
19,1,Blend the mango pickle in a mixer to a coarse paste. Keep aside.
19,2,"Clean, wash and soak the rice for 10 minutes. Drain and keep aside."
19,3,"Heat the ghee in a pressure cooker, add the fennel seeds, mustard seeds, fenugreek seeds, nigella seeds, big cardamom, cumin seeds and asafoetida and sauté on a medium flame for a few seconds."
19,4,"When the seeds crackle, add the onions and sauté on a medium flame for 1 to 2 minutes."
19,5,"Add the ginger-garlic paste, kabuli chana, turmeric powder, chilli powder, garam masala, salt and the prepared pickle paste, mix well and cook on a medium flame for 1 minute."
19,6,"Add the rice, mix well and cook on a medium flame for 1 minute."
19,7,"Add the 2½ cups hot water, mix well and pressure cook for 2 whistles."
19,8,Allow the steam to escape before opening the lid.
19,9,Serve hot garnished with coriander.
20,1,"Heat the oil in a deep non-stick pan, add the fennel seeds, mustard seeds, fenugreek seeds, nigella seeds, cumin seeds and asafoetida and sauté on a medium flame for 1 minute."
20,2,Add the onion and sauté on a medium flame for 2 minutes.
